3495,0.127,0.063,84:74:2a:b1:cd:cf,2,b0:8e:1a:50:00:02,-34,1,4,51,-37,1,4,-40,1,4,-95,1,4
3496,0.127,0.063,84:74:2a:b1:ce:55,2,b0:8e:1a:50:00:02,-64,1,5,51,-67,1,4,-69,1,4,-95,1,4
3497,0.127,0.063,84:74:2a:b1:d0:05,2,b0:8e:1a:50:00:02,-48,1,5,51,-52,1,4,-52,1,4,-95,1,4
3498,0.127,0.063,84:74:2a:b1:d0:39,2,b0:8e:1a:50:00:02,-67,1,4,51,-68,1,4,-70,1,4,-95,1,4
3499,0.127,0.063,84:74:2a:b1:d0:4f,2,b0:8e:1a:50:00:02,-50,1,5,51,-53,1,4,-54,1,4,-95,1,4
3500,0.127,0.063,84:74:2a:b1:d1:ad,2,b0:8e:1a:50:00:02,-56,0,4,51,-58,1,4,-62,1,4,-95,1,4
3501,0.127,0.191,84:74:2a:b1:cd:cf,2,b0:8e:1a:50:00:02,-35,0,4,51,-39,1,4,-42,1,4,-95,1,4
3502,0.127,0.191,84:74:2a:b1:ce:55,2,b0:8e:1a:50:00:02,-59,1,7,51,-62,1,4,-63,1,4,-95,1,4
3503,0.127,0.191,84:74:2a:b1:d0:05,2,b0:8e:1a:50:00:02,-43,1,5,51,-46,1,4,-48,1,4,-95,1,4
3504,0.127,0.191,84:74:2a:b1:d0:39,2,b0:8e:1a:50:00:02,-64,1,5,51,-67,1,4,-69,1,4,-95,1,4
3505,0.127,0.191,84:74:2a:b1:d0:4f,2,b0:8e:1a:50:00:02,-50,1,8,51,-53,1,4,-54,1,4,-95,1,4
3506,0.127,0.191,84:74:2a:b1:d1:ad,2,b0:8e:1a:50:00:02,-52,2,9,51,-54,1,4,-56,1,4,-95,1,4
3507,0.127,0.319,84:74:2a:b1:cd:cf,2,b0:8e:1a:50:00:02,-42,0,4,51,-45,1,4,-48,1,4,-95,1,4
3508,0.127,0.319,84:74:2a:b1:ce:55,2,b0:8e:1a:50:00:02,-54,1,6,51,-56,1,4,-59,1,4,-95,1,4
3509,0.127,0.319,84:74:2a:b1:d0:05,2,b0:8e:1a:50:00:02,-35,1,5,51,-39,1,4,-42,1,4,-95,1,4
3510,0.127,0.319,84:74:2a:b1:d0:39,2,b0:8e:1a:50:00:02,-59,1,4,51,-62,1,4,-63,1,4,-95,1,4
3511,0.127,0.319,84:74:2a:b1:d0:4f,2,b0:8e:1a:50:00:02,-52,1,7,51,-54,1,4,-56,1,4,-95,1,4
3512,0.127,0.319,84:74:2a:b1:d1:ad,2,b0:8e:1a:50:00:02,-50,1,6,51,-53,1,4,-54,1,4,-95,1,4
